,genome_name,source,species,resistance_profile,ST,location
SRR27387993,EPAC066,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",155,Thailand:Amnat Charoen
SRR27387995,SH081,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",54,Thailand:Khon Kaen
SRR27387996,SH080,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",298,Thailand:Khon Kaen
SRR27387997,SH079,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",298,Thailand:Khon Kaen
SRR27387999,SH078,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",298,Thailand:Khon Kaen
SRR27388000,SH077,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",33,Thailand:Khon Kaen
SRR27388001,SH076,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",33,Thailand:Khon Kaen
SRR27388002,SH075,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388003,SH074,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388004,SH073,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388005,SH072,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388006,SH071,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",58,Thailand:Khon Kaen
SRR27388007,SH070,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",10,Thailand:Khon Kaen
SRR27388008,SH069,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",10,Thailand:Khon Kaen
SRR27388010,SH068,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",492,Thailand:Khon Kaen
SRR27388011,SH067,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",492,Thailand:Khon Kaen
SRR27388012,SH066,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",492,Thailand:Khon Kaen
SRR27388013,SH065,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388014,SH064,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388015,SH063,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388016,SH062,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388017,SH061,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27388018,SH060,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",70,Thailand:Khon Kaen
SRR27388019,SH059,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",Novel ST,Thailand:Khon Kaen
SRR27388022,SH057,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",17,Thailand:Khon Kaen
SRR27388023,SH056,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",306,Thailand:Khon Kaen
SRR27388024,SH055,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
SRR27388025,SH054,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",512,Thailand:Khon Kaen
